ID VALUE SCORE
18740064 246363.511 0.945
35637137 55936.575 0.232
5584568 42867.15 0.059
55766928 209547.694 0.306
33865062 135812.836 0.087
59736409 659783.887 0.277
52481632 428334.174 0.485
22941973 25433.808 0.761
73990707 259897.895 0.6
22779788 243446.733 0.454
70982378 464125.377 0.641
28302695 383787.934 0.144
31540977 110977.914 0.108
89394164 161288.591 0.622
25938834 254152.364 0.231
73379691 266233.067 0.367
40763116 730682.256 0.02
47595246 73295.906 0.049
90443945 726914.229 0.763
38227825 617434.629 0.695
83161896 758278.084 0.849
38795014 133620.159 0.967
16463148 111110.173 0.214
45613421 75721.071 0.703
59994792 133170.69 0.246
47632211 133656.614 0.13
99228989 66180.501 0.566
60190475 222008.747 0.039
23760068 615855.764 0.177
32469389 52237.562 0.654
4562644 113066.734 0.313
51198277 30334.863 0.909
96975553 152884.494 0.236
54113993 271917.48 0.281
42825480 3070.439 0.596
14301215 22289.937 0.443
75905230 103892.336 0.853
72975462 121213.838 0.875
41002478 500943.135 0.237
56178701 398869.119 0.843
2153511 141653.239 0.301
26318002 137843.421 0.336
39357481 79039.952 0.859
10383727 149667.784 0.913
86178592 241290.374 0.803
21314582 619908.955 0.289
13992363 97461.059 0.777
32867995 19281.855 0.727
89188270 99197.922 0.819
77779738 155123.922 0.942
17914119 121755.81 0.317
47403538 508983.703 0.446
74295136 55484.417 0.512
88168370 228010.735 0.393
22020639 455524.047 0.618
69969416 592632.523 0.862
19440957 22648.696 0.451
2568650 707845.994 0.977
77846242 209853.443 0.655
46682011 535851.631 0.211
73668946 27331.795 0.749
82181820 16268.254 0.589
57539701 36256.037 0.753
74155535 128250.923 0.879
25392141 24342.746 0.914
51449862 264205.397 0.878
67942285 37225.131 0.833
1466384 87423.208 0.905
52211124 421950.615 0.686
55134114 32111.977 0.446
63053744 32549.292 0.202
78790116 169.599 0.883
5227079 30685.936 0.872
39227853 82088.088 0.108
13877856 38686.76 0.794
99494369 45722.822 0.4
16895443 580316.999 0.506
65178850 140288.95 0.832
88694068 32292.066 0.271
57394613 627724.614 0.193
43152283 199942.87 0.165
28579400 76932.855 0.126
68917090 335690.0 0.599
67689011 55813.634 0.5
97443411 128340.943 0.565
83881013 77991.439 0.084
15950603 125275.619 0.682
62507632 88143.247 0.341
95003752 436896.021 0.284
92503702 50468.341 0.502
74842608 159470.211 0.353
55344932 261771.589 0.842
63342442 217781.682 0.081
62159232 21667.667 0.3
26967686 722493.834 0.222
51745230 17090.775 0.559
72683822 2394.457 0.516
23193282 458328.493 0.268
47715583 392608.8 0.009
67260532 386249.584 0.883
1472665 894313.989 0.714
83047968 440123.38 0.83
37482672 28824.0 0.912
90798319 144092.923 0.971
40188195 7238.822 0.15
85527923 299230.47 0.251
48249752 287271.872 0.79
69033845 74158.112 0.074
77502220 16754.267 0.724
76636045 102038.072 0.197
47085087 15487.261 0.75
38452236 236487.979 0.345
50634026 282353.127 0.176
45837188 6927.042 0.07
84778796 922289.296 0.02
50238797 339065.485 0.47
4624997 364555.663 0.715
8461168 17726.292 0.792
28670874 267383.075 0.8
15643636 130024.942 0.709
45578318 690486.337 0.452
39529388 624707.623 0.801
55719176 356589.187 0.057
89726174 135518.281 0.357
28169532 341445.5 0.464
81771111 22791.281 0.636
96425876 681167.887 0.404
99988379 111951.599 0.237
3771525 496552.937 0.09
40133204 7666.271 0.124
58945455 63105.374 0.261
48112936 122773.621 0.261
90308947 584521.355 0.038
52326630 293519.787 0.416
47322667 159362.36 0.965
42294326 741836.593 0.374
32547424 800235.554 0.55
45680340 16993.339 0.371
60878785 217279.948 0.812
35358447 28659.626 0.844
99611074 532587.534 0.064
38360326 703879.029 0.916
840298 348909.878 0.373
84534437 563784.169 0.729
57168087 20795.852 0.542
88986831 34525.888 0.934
13119998 209063.378 0.852
91968599 69269.184 0.539
648536 3999.257 0.039
83420491 290950.691 0.538
81272491 187691.801 0.452
94673074 282184.768 0.955
64144237 295004.793 0.481
71755071 33102.401 0.542
87743736 16318.455 0.216
69582640 123980.788 0.221
91492447 461822.752 0.614
66342932 673883.285 0.08
89494008 437717.86 0.117
33461209 386048.708 0.992
29338009 240077.44 0.774
42209080 215676.547 0.1
75929129 1303.596 0.345
73433332 88104.901 0.226
30563137 399570.602 0.152
99471102 312707.233 0.362
51571865 56895.423 0.002
94403670 28327.482 0.578
67339417 472516.905 0.723
19172866 319653.855 0.221
30185273 173528.065 0.212
86436542 93183.468 0.344
23259547 353898.079 0.106
7363317 297.261 0.511
85358705 89263.185 0.829
8216437 860888.979 0.974
87117398 714328.103 0.841
4599912 460094.559 0.905
19869223 412186.088 0.069
87913125 600535.545 0.974
