ID VALUE SCORE
4142781 382025.212 0.2
96904466 667036.162 0.827
66912234 150364.369 0.802
94812882 672109.544 0.018
72803036 248841.209 0.138
36346177 261379.759 0.482
54288931 193569.319 0.244
20456225 166309.067 0.896
54383091 382058.504 0.74
56393658 278969.669 0.418
45796765 342751.422 0.629
27507969 440906.952 0.806
14722939 483463.594 0.485
23503106 249698.867 0.843
26037596 188550.509 0.58
98864692 333765.231 0.471
86535207 429211.026 0.945
83483428 30571.459 0.799
83391811 548646.752 0.815
61457385 792933.238 0.773
52672506 133092.559 0.102
68247343 260927.508 0.088
63937618 164308.091 0.21
52952426 161081.591 0.815
95610366 21854.534 0.001
24274425 26535.503 0.828
99984192 739372.308 0.992
18064489 73907.792 0.175
97014096 187767.431 0.952
89054347 93710.059 0.075
24625917 691433.134 0.048
17055533 194998.657 0.793
28051061 109958.021 0.34
8087767 11098.164 0.547
38305128 6925.039 0.834
23534657 426502.992 0.937
81762778 6633.05 0.27
29905193 49785.936 0.47
93467842 352400.41 0.546
17625056 738225.898 0.155
79495195 389.489 0.73
33119236 1900.052 0.242
34920708 580172.494 0.38
71868330 110757.811 0.325
19146462 153151.38 0.879
52635094 99838.421 0.586
50100418 220499.656 0.24
84563075 695627.366 0.874
65250868 739014.611 0.027
19403026 384251.378 0.473
90197314 82699.968 0.632
10215776 2059.5 0.541
67125022 241101.137 0.577
17022334 30630.375 0.196
88267578 572933.068 0.366
53154044 85207.372 0.162
6577535 557266.498 0.905
90809700 232118.153 0.226
15903951 168742.695 0.399
1623003 4730.948 0.807
17855239 78261.233 0.3
29940962 391284.45 0.135
25679125 339230.363 0.47
97677488 217811.215 0.962
17149239 283588.503 0.634
90680035 18127.522 0.428
63880838 120122.221 1.0
65926024 234953.143 0.355
40176320 640749.373 0.272
91224102 20704.325 0.236
86240957 186160.387 0.851
81182006 169790.631 0.812
51318694 151450.753 0.059
70579060 653682.827 0.517
10553454 424152.419 0.057
4142560 109361.959 0.235
37701580 424712.757 0.459
98473801 367344.077 0.8
8885097 29036.532 0.205
6876827 486486.327 0.68
78654831 221645.779 0.558
52182683 364075.127 0.864
9870137 68649.414 0.317
18968993 317892.566 0.783
9368630 64767.886 0.086
65423898 62027.16 0.376
71995759 72670.437 0.433
64994802 531644.165 0.957
42857613 204867.287 0.944
85518530 2347.88 0.638
92978152 131335.466 0.648
80665167 382641.274 0.799
52079776 507217.064 0.094
25661371 111039.778 0.146
369760 617613.825 0.198
11665344 60602.368 0.216
78284225 518834.654 0.09
7850222 199828.222 0.141
308106 121531.391 0.384
97208316 6457.443 0.462
63757515 13467.451 0.344
54538152 247386.111 0.158
47686217 72599.913 0.103
92469116 108836.852 0.502
63536180 7207.957 0.367
55325379 48779.131 0.362
53614984 515106.985 0.379
25421516 819473.263 0.249
63779230 80038.793 0.82
22739279 4150.749 0.055
62148865 140264.044 0.9
11951768 116509.757 0.61
71662346 14875.82 0.711
2829348 57133.371 0.565
13299584 23813.997 0.715
11528904 30849.69 0.807
599078 10847.263 0.368
16714710 556749.872 0.896
33556892 13847.917 0.77
94987994 687357.583 0.342
85871521 71969.335 0.987
52312867 312602.713 0.608
82082548 123473.585 0.326
95283303 436280.796 0.057
98673378 486503.638 0.365
97634476 79977.513 0.896
16741077 45257.196 0.219
15234466 7992.411 0.392
46976017 127633.465 0.075
54026381 114235.227 0.222
97214786 242785.829 0.81
19213963 53714.403 0.756
92836128 81397.528 0.146
94018403 91666.376 0.95
26313730 14402.964 0.52
30656392 197776.709 0.868
80743713 203875.821 0.989
25475604 287154.167 0.139
55256618 324536.175 0.822
59782776 109480.247 0.519
31746397 372436.647 0.678
93865815 230372.362 0.973
85610922 456742.069 0.073
6333569 827804.139 0.092
67766421 106435.177 0.978
96132834 11601.551 1.0
13442869 455721.152 0.56
13591325 222929.307 0.878
94111767 449578.48 0.01
33709963 112558.792 0.324
19176379 31930.274 0.055
69620203 473197.709 0.802
19503857 193301.677 0.829
17744990 706874.224 0.129
57574971 243400.576 0.798
19127281 40081.683 0.943
11791219 407266.686 0.093
40274884 97897.632 0.417
65171238 268677.299 0.752
87380838 119393.373 0.77
40083250 78701.629 0.704
67026437 270422.189 0.819
84280693 219204.327 0.576
33173383 153904.414 0.883
65815214 272625.021 0.989
13261135 301205.587 0.357
87578495 1792.501 0.768
47569000 133842.761 0.594
38707446 87664.546 0.313
22598861 72183.354 0.621
40795577 24656.862 0.332
53648661 388529.092 0.457
6071754 162341.423 0.068
62103771 171783.081 0.085
97397559 443371.881 0.627
46867345 181205.893 0.675
36494849 702144.375 0.949
1956263 193557.329 0.208
37504780 713193.438 0.257
72679541 153338.415 0.088
13428528 142799.967 0.276
82458587 263946.242 0.343
77609215 276999.67 0.074
14652927 57501.81 0.909
33462564 336902.808 0.862
85686312 39096.238 0.141
75778504 570802.503 0.415
17577237 32628.111 0.318
53932069 756889.91 0.567
48250042 45548.897 0.379
48682098 86246.225 0.189
12687245 33232.352 0.254
9836379 225927.449 0.519
38236089 304660.901 0.821
74516936 242927.282 0.135
14812489 58806.929 0.065
39872776 397441.754 0.417
38391778 108564.463 0.238
72700968 29944.757 0.424
54252439 523671.827 0.763
18282526 430707.65 0.193
94949700 603803.547 0.856
25551305 174785.718 0.803
89763108 187657.041 0.133
40033904 305126.663 0.146
31439294 635205.159 0.594
85697844 155107.726 0.263
17167214 8176.03 0.644
53236823 269516.599 0.289
24007343 705997.058 0.961
94696786 261626.862 0.938
59711607 242732.888 0.0
75318690 36741.657 0.814
14303660 114900.215 0.273
91560168 5531.232 0.417
85643717 769936.465 0.961
17226546 492243.432 0.343
22510182 239491.579 0.712
90629057 161463.727 0.695
80389141 124513.411 0.633
27718388 113432.784 0.697
84048208 296316.231 0.413
56494014 725422.85 0.136
45136197 280500.021 0.045
30584631 46.291 0.608
97254153 441625.459 0.903
