ID VALUE SCORE
62211230 567190.076 0.08
50683858 219515.478 0.017
82895871 11427.182 0.386
32674134 39123.475 0.38
91017320 434969.709 0.741
58351484 117075.362 0.045
59020567 733524.703 0.475
45396757 404259.2 0.951
90561431 66645.899 0.563
55399485 876852.995 0.793
87137605 124390.061 0.482
56325345 447017.283 0.101
22684880 419698.829 0.554
37124776 62602.532 0.746
83229868 232510.575 0.585
78180582 536181.585 0.178
28460797 144959.917 0.328
99026104 274518.945 0.966
31524156 277629.385 0.77
50103107 30338.261 0.47
57728943 172762.438 0.123
3507297 109530.538 0.125
38599634 17481.333 0.945
42503800 135271.602 0.984
88727187 430750.822 0.077
6668450 158904.118 0.796
45148806 67604.515 0.356
42097532 194793.24 0.414
53025064 52652.174 0.727
54609632 62763.089 0.001
71977850 696846.763 0.535
33168879 96122.482 0.089
58788195 532506.756 0.318
73892018 96281.696 0.007
23795555 485207.905 0.576
48090544 35181.859 0.744
76328167 142566.63 0.599
34023534 62173.223 0.596
32316267 33187.822 0.831
45637617 527963.135 0.802
88555367 239076.717 0.524
24293520 452300.266 0.119
3604423 18722.996 0.757
96098435 90833.997 0.822
95180194 889557.656 0.133
66330335 51354.471 0.457
78242494 175947.607 0.682
74400526 540394.16 0.566
401577 843194.209 0.108
10373402 3483.701 0.648
62105470 132371.344 0.233
83134426 298834.777 0.714
27091244 95941.837 0.167
73671876 150625.093 0.176
25612730 85880.597 0.14
8530654 1416.548 0.944
4751750 239955.362 0.632
45257653 282562.284 0.544
78146752 134445.101 0.741
52012525 65500.508 0.133
86506707 15282.964 0.457
54720874 538797.079 0.9
32398058 46364.119 0.27
95592788 225243.029 0.091
72142375 607773.967 0.371
74061539 4093.965 0.34
96242726 421528.604 0.163
32743366 414776.608 0.214
75292083 388047.724 0.289
1496861 170258.519 0.225
55070789 166335.907 0.233
67183099 173495.155 0.67
1709082 704207.851 0.751
38329135 591978.46 0.422
68062576 24696.654 0.562
85620586 124760.908 0.382
47822621 558314.913 0.442
55778440 90947.217 0.602
89726012 66827.813 0.326
81149944 107064.57 0.949
32266031 118867.366 0.302
17026744 216403.718 0.33
63419493 65350.259 0.705
16662796 10417.859 0.198
126496 64328.262 0.91
65742578 305212.927 0.597
25612773 187481.379 0.95
69844293 36322.663 0.083
72243910 93901.206 0.626
47189403 7579.385 0.535
10923231 72468.506 0.002
24791331 20412.658 0.941
82330776 76861.086 0.633
58480687 269380.139 0.811
23375320 163667.076 0.489
44338147 813701.678 0.022
14767607 39222.554 0.408
70259511 860602.677 0.614
35565452 15821.889 0.204
55297552 415671.951 0.112
18576254 7526.949 0.309
62391866 139667.019 0.958
511327 623770.479 0.862
37833440 833035.654 0.2
45922735 105541.695 0.884
67963233 192119.893 0.487
10145841 719928.435 0.891
13328373 130.869 0.646
72573915 412742.064 0.914
4282429 136727.665 0.58
36641079 19895.985 0.568
60168328 2142.337 0.789
39323062 81643.263 0.736
12374266 69063.089 0.017
48802306 840673.094 0.188
34871836 135666.426 0.084
61227257 58950.639 0.64
26073182 197946.831 0.955
31014870 116228.999 0.027
98614407 103566.325 0.129
99850565 33899.361 0.218
55801745 372250.048 0.12
11219579 550131.676 0.038
96038918 28775.333 0.841
29265615 287243.792 0.158
10027779 646000.136 0.289
71674844 384662.819 0.979
46960492 459052.524 0.662
36850710 434793.679 0.002
87220824 735046.066 0.109
12778005 66336.938 0.325
49341772 258003.461 0.057
41135382 390882.31 0.914
53537692 62537.505 0.334
62396393 38314.592 0.862
63534223 229089.745 0.109
41164134 638460.299 0.118
97497751 224995.813 0.307
56440371 534138.959 0.682
4198351 18664.792 0.612
82880537 136701.209 0.87
43531674 87515.201 0.084
28521912 300786.358 0.098
68559968 750908.188 0.536
28002851 214552.146 0.535
68539541 703147.094 0.716
29448099 211435.354 0.802
26282988 3997.111 0.283
64038159 190.661 0.609
16009131 87892.617 0.166
25596972 23832.761 0.44
78776547 438366.561 0.814
29490235 630879.709 0.817
14161515 420199.745 0.808
84333788 505690.335 0.675
4343785 6765.405 0.009
7536339 81463.054 0.321
45228768 32387.25 0.554
29618063 114180.248 0.783
93490629 46895.526 0.946
57851351 115943.209 0.607
60418775 131431.378 0.992
37432559 106484.685 0.779
43709394 142207.445 0.335
72170275 68728.981 0.712
62688791 170826.228 0.243
99862603 492634.061 0.594
33240549 171403.789 0.984
30658144 210885.358 0.216
27326892 18600.871 0.942
52601163 321672.568 0.429
13694683 63038.068 0.998
21257547 23235.874 0.398
56471800 107437.351 0.448
41350761 36821.458 0.177
83159402 189836.505 0.335
59484589 249138.139 0.156
12433869 3080.887 0.429
15632278 514284.912 0.537
73089682 169550.291 0.326
46998954 110444.109 0.653
71562629 90190.299 0.504
88769765 476467.605 0.579
39655288 115123.502 0.52
36046056 359060.106 0.987
8526811 3100.434 0.645
69395102 58415.405 0.687
8808465 151873.717 0.171
57146792 101793.125 0.64
15078507 181805.174 0.54
11855041 122750.462 0.529
51839440 416734.253 0.135
88627284 493569.948 0.373
85074243 176237.315 0.032
2755095 154730.152 0.51
21398541 99181.204 0.812
72314302 40185.124 0.498
18436757 89103.361 0.72
75230878 294570.925 0.013
14510665 41258.046 0.22
80054355 7182.067 0.813
64953703 224338.049 0.907
36430386 94345.189 0.386
74233068 62116.942 0.016
60758542 196371.727 0.603
33971344 262761.145 0.07
59724632 603193.084 0.914
64687883 715.266 0.153
41078635 11773.664 0.667
34961355 68908.906 0.704
91054795 103184.245 0.421
60013428 11700.273 0.105
88843032 459663.885 0.815
31878473 593414.323 0.688
19959379 133173.556 0.588
40367579 853861.725 0.36
76319893 499764.962 0.031
7019225 92748.25 0.754
49660408 255606.985 0.672
76785924 434394.663 0.998
87063343 67564.874 0.196
84952463 595336.176 0.917
68266304 868019.769 0.827
97968730 70030.577 0.961
60278186 155751.707 0.354
47322877 49813.42 0.106
39584534 231509.073 0.638
4228153 802141.382 0.56
56824396 416281.433 0.908
42761913 344720.082 0.162
42875516 395963.633 0.939
80196717 303710.826 0.685
90997120 513667.504 0.993
54400295 782457.342 0.344
40537243 12349.779 0.734
72672993 201523.621 0.598
97400690 2371.596 0.298
45549634 308719.934 0.037
8860601 109370.661 0.786
56255603 6832.199 0.407
69217531 413837.867 0.817
83317979 26191.347 0.745
26811340 203482.321 0.902
86838159 550556.815 0.194
57546693 74538.172 0.943
85255891 22116.394 0.215
36206993 103105.736 0.688
73484763 142814.105 0.991
90806582 87409.119 0.045
97913407 444153.581 0.425
66074311 169482.222 0.467
21745909 105060.942 0.325
74110006 405374.531 0.425
