ID VALUE SCORE
49909603 331633.75831 0.00195
55533295 41938.90471 0.03555
9552353 50365.65981 0.07506
73949528 12115.05156 0.09513
66707418 486638.94763 0.1042
17097837 312377.26123 0.11026
54378211 587634.61841 0.12353
30933324 19456.23104 0.12511
47997530 357131.98959 0.13112
48136386 406791.85131 0.13335
48350609 459643.07971 0.13429
79281597 349978.16621 0.13663
82893510 65412.90954 0.13787
60540797 25730.77022 0.1407
62143154 369157.18267 0.14207
73352995 63301.70183 0.1443
5794811 166046.61598 0.14605
91379598 149038.35915 0.15445
12652404 508660.00365 0.16194
32411866 16887.26632 0.17001
72880641 34248.39879 0.1709
76836767 10435.41861 0.17562
84663600 124086.69997 0.19338
71622692 721835.16215 0.19566
16371242 171698.21089 0.22048
67752233 306261.24123 0.22635
20175875 150055.41341 0.23132
2800218 451984.03727 0.24832
8606907 313436.32259 0.27995
60941453 92193.99562 0.28479
65749966 131784.67779 0.33166
83582434 512540.55628 0.33353
41779935 218352.88963 0.33389
87781355 135108.70109 0.33919
27526350 1396.48498 0.34854
6697943 95996.42775 0.36184
17867931 97178.67002 0.3883
51707794 317737.91793 0.38926
95745923 18971.3768 0.39101
99411119 687163.9414 0.42424
62285646 165537.08897 0.42901
27739217 629891.31416 0.42984
39638519 30220.80057 0.43151
28805303 367829.50642 0.45535
13906926 491262.93722 0.45721
79342040 278952.04024 0.47027
43737801 252762.89413 0.48069
92197797 192440.9374 0.48611
52334435 80421.69616 0.48866
52209928 112201.33373 0.49283
76787857 634059.03064 0.49345
95611976 68836.66159 0.49936
86735744 18091.69391 0.50611
8860135 524560.84338 0.51567
53623142 611382.43974 0.52586
52519460 283792.67711 0.53782
13390103 520759.30938 0.55636
87371036 246113.44315 0.55819
40563608 19690.89521 0.56996
74545716 465680.03294 0.58352
47245077 40131.69983 0.5856
47665115 68941.33905 0.59001
730315 577091.81954 0.59361
35571414 260424.10701 0.60092
63847072 416576.76023 0.60253
24308104 259822.26116 0.61656
91924821 188821.37559 0.6256
42545172 597937.31764 0.63133
14935669 21772.81503 0.63277
97800764 187758.7298 0.63496
2607905 1535.24162 0.64055
77630702 39777.34398 0.64333
65363966 715348.8782 0.66725
24363711 397403.76478 0.67091
13026061 4353.41861 0.67398
52449329 759319.69583 0.67807
5712103 8367.55381 0.68008
30363710 584275.62381 0.70663
7791073 49092.78275 0.71792
13315163 43368.11613 0.72079
11768660 23853.52356 0.72395
3816223 351980.01619 0.74139
63060444 352245.45493 0.77409
59560822 78001.01014 0.77973
79377818 26110.57882 0.78097
19034766 745356.93671 0.81509
71272 627089.0407 0.81632
43691452 198369.75627 0.86869
8114830 33470.50811 0.87868
4949319 378715.25338 0.89072
87979241 735591.12917 0.89666
68397237 246943.4859 0.91968
50114291 597208.63016 0.92978
57204920 955407.81604 0.93887
27606078 53090.23193 0.95901
58965851 77748.308 0.97256
27478272 110387.76813 0.97271
63316110 148112.16766 0.98449
39542091 396269.27606 0.98547
39160475 2741.47982 0.98928
