ID VALUE SCORE
21126213 29582.54228 0.00056
33077079 806905.047 0.00061
25509539 68298.7545 0.00071
61815793 168763.92484 0.00073
34094809 83434.20617 0.00093
97943948 293180.26206 0.00121
99275063 120410.5104 0.00124
35704035 534090.6338 0.00157
43627929 55453.80072 0.00177
5581757 876037.54016 0.00181
20798106 70348.71848 0.00191
59256275 3762.52507 0.00194
37070102 220055.01298 0.00197
18947153 250307.75949 0.00203
90768759 8537.89948 0.00206
8839333 355505.29894 0.00214
77454122 389876.20543 0.00258
38169110 18680.07457 0.00258
72217293 224524.24834 0.0027
27290768 127962.33785 0.00271
19939920 214118.44452 0.00289
47089430 189954.84276 0.00306
74917236 682900.42433 0.00316
57097100 118349.92883 0.00333
70820478 407051.36337 0.00362
89899527 162874.81655 0.0037
78824339 107695.18607 0.00372
83264364 35396.90595 0.00375
45831795 181095.36516 0.00376
52880299 229052.1347 0.00386
90967990 478583.41302 0.00391
42167877 227823.69319 0.00401
18594637 4056.10079 0.00402
57719474 62933.9673 0.00413
76165585 782596.98574 0.00414
49559752 94888.35807 0.00418
83856930 30607.7388 0.00425
67450402 227549.82379 0.00429
85881620 488928.84416 0.00443
82107843 31488.26065 0.00448
46693896 89444.67544 0.0045
44418990 24427.48997 0.0045
36325289 142152.5407 0.0049
25349962 627957.85827 0.00491
82067722 7331.06744 0.00495
96035026 159935.45698 0.00528
92504750 121779.69486 0.00529
68947267 190930.51006 0.00564
36974211 112205.53199 0.00576
4412209 24686.07971 0.00581
55792186 337680.67347 0.00591
40879376 240078.14006 0.00592
93665655 94187.95785 0.00599
58188945 36672.64033 0.00601
28012299 89666.76105 0.0062
75046500 95287.08619 0.00631
61588097 6409.17682 0.00652
26190963 224894.54748 0.00653
17406498 354936.03445 0.00653
28442550 14223.67892 0.00674
71461791 27793.31717 0.00696
85333079 199792.14471 0.00701
21710627 52386.81291 0.00706
11693609 197511.93861 0.0071
98099198 210205.80312 0.00723
25180802 155354.41601 0.00753
38113596 179049.15821 0.00759
36397834 634424.82534 0.00795
34556569 60238.70063 0.00832
89291516 85242.79228 0.00835
30539836 565625.38949 0.00866
96735753 331241.18682 0.00867
25958732 115799.09426 0.00868
54241819 245828.5861 0.0087
40469478 551940.13853 0.00903
813892 196975.86129 0.00908
48788824 113880.39692 0.00915
90662625 448090.16368 0.00915
24391408 98255.23326 0.00918
18565839 42117.17294 0.00936
97459244 58451.48973 0.00955
36492507 359329.64898 0.00956
