ID VALUE SCORE
3695545 138748.51274 0.00072
77618436 195395.07413 0.00122
13127960 29711.58088 0.00387
48841283 5024.09683 0.00538
26147178 595614.82022 0.00582
22685621 467764.91637 0.00664
33110682 54198.08182 0.00877
4606173 56736.50392 0.0104
66044759 36921.31752 0.01053
70928098 67020.69427 0.01136
63063650 10634.90815 0.01216
64827302 2950.84057 0.0122
98756129 17619.55144 0.01263
93971122 443101.88407 0.01361
26308375 213241.86058 0.01455
68047272 247903.40209 0.01524
73739182 17766.89709 0.0173
78358933 44882.00919 0.01737
29015174 27670.19437 0.01743
32345707 117174.35453 0.02055
17535739 17678.50863 0.02118
356015 158467.4162 0.02162
90896598 35875.34036 0.02172
46437873 978041.55554 0.02265
15826797 54944.50763 0.02326
359155 43564.3094 0.02423
94586547 742872.7717 0.0243
9998182 18965.63512 0.02663
74323259 34057.20504 0.02778
98525417 45440.66828 0.03013
47847925 47087.38679 0.03021
27632451 198998.70454 0.0319
84315730 266273.82319 0.03272
52593075 3144.28067 0.03388
23599192 388188.98311 0.03452
33635404 98016.47581 0.03521
6268578 728982.57858 0.0359
36810929 190160.71505 0.04085
27316796 480826.35316 0.04246
41633978 183908.73717 0.04298
82080694 4369.98262 0.04501
71561719 478182.03523 0.04512
43285181 42915.91776 0.04799
76260202 86767.22222 0.04976
30935479 600308.99505 0.04999
86330892 457392.74234 0.05051
5543346 187595.60254 0.05106
36410349 10899.96161 0.05177
85829522 180697.38712 0.05325
23650611 141836.34153 0.05377
48156445 76464.34642 0.05413
66926895 602175.38046 0.05471
84363107 24330.34754 0.05562
9815009 193717.88268 0.05594
33724993 659750.12657 0.0561
84899154 249020.87121 0.05636
93183377 447755.69344 0.05701
44425016 499781.68127 0.0583
63724703 823430.25868 0.05839
27040466 28696.50387 0.06115
45314060 473288.75319 0.06163
20379383 572700.70519 0.06174
72215276 385257.60634 0.0625
97892510 115344.85973 0.06253
49761311 31621.42291 0.06286
27632203 269592.51817 0.06297
91323131 30647.96289 0.06421
10594098 8887.16915 0.06756
11792375 311695.31582 0.0682
31445541 353724.10189 0.06921
84312643 71199.01743 0.07041
33735183 537279.27331 0.07076
11755107 374995.65458 0.07244
51256072 167947.4335 0.07247
99579193 2530.51863 0.07359
64917066 549965.21942 0.07519
51029632 313846.24257 0.07566
7588397 458672.32254 0.07708
2026004 62610.71402 0.07845
18627736 308877.79191 0.07994
9211451 164486.69362 0.08031
4701610 73301.05743 0.08115
82160632 228554.37537 0.08478
79442179 103571.07391 0.08513
64575325 194195.34785 0.08795
51189137 260210.86991 0.08814
3943107 63569.37566 0.08921
59175741 88119.61011 0.08953
83386975 21886.98552 0.08957
88448939 507930.25911 0.08971
59373878 325896.03143 0.08998
76324412 107737.25393 0.09051
65082998 226919.70522 0.09086
2522658 334390.86987 0.09148
1629061 37498.1407 0.09266
87489094 269373.58474 0.09513
37782895 160093.37436 0.09629
29326706 29879.20928 0.09672
78422480 213569.68263 0.09959
70403650 198845.71616 0.10186
24721265 332240.46778 0.10235
15812441 184926.56463 0.10283
95683904 261009.86748 0.1039
73584397 54016.20379 0.10491
38864771 23516.48757 0.10496
77956323 517764.05069 0.10632
13222200 470953.58885 0.10852
14816877 625235.4672 0.10865
89840820 68710.42506 0.11158
72559543 92577.39866 0.11353
64998856 2223.76581 0.11406
16287745 21091.77451 0.11552
78111114 377094.2579 0.11645
66237518 464890.72549 0.11723
9072822 15247.84703 0.11754
31902276 453873.24302 0.11773
51710402 148589.61833 0.11846
80870090 54562.92112 0.11854
19333023 126533.86449 0.11928
80942148 110274.4251 0.12199
10738399 129632.73989 0.12385
43475729 3197.7698 0.12414
94887866 652805.40559 0.12481
59099205 152565.86355 0.12586
55703805 105263.25367 0.12623
58551679 416801.57346 0.12675
61056123 44333.48085 0.12849
22084671 431906.75726 0.12993
88342644 463628.42139 0.13041
9407284 28486.61177 0.13103
1211479 115074.42146 0.1313
72409935 805745.60176 0.13149
51313587 4078.1629 0.13151
39220498 449023.21786 0.13393
7541111 317839.16311 0.13547
15246908 152069.96762 0.13656
18237365 25324.59112 0.13675
52510608 488500.1317 0.13747
7411850 340955.98073 0.13779
76983467 169396.22376 0.13875
53938336 22041.88907 0.13891
91585417 364872.84586 0.14061
14580444 316865.2364 0.14102
71887801 7518.41605 0.14222
95916391 592495.42197 0.1425
3949990 30924.64379 0.14656
52269709 183419.21255 0.14675
24922388 3300.15162 0.14794
9299867 94723.18762 0.14828
76836413 99395.54755 0.15045
86180691 187301.98183 0.15115
53150564 1856.03112 0.15137
54225129 544719.34923 0.15165
96289310 68.8766 0.15233
17224289 100725.64471 0.15674
22826134 26676.021 0.15711
26619083 324666.7576 0.15755
75563081 51515.91374 0.15774
24776529 947120.60995 0.15996
57129326 236408.02865 0.16121
8550575 287873.46259 0.16217
94670609 634790.18528 0.16389
87530271 371260.79069 0.16461
43776969 507591.1674 0.16704
196063 226173.96644 0.1672
98727436 42884.25192 0.16913
65149012 38364.20984 0.16948
92013056 204980.46486 0.17009
82799830 511048.01295 0.17015
13561842 460865.54832 0.1704
76469846 148840.42726 0.17132
17679942 477480.30098 0.17307
24690326 627022.8477 0.17577
50929670 334750.82158 0.17596
32173990 740584.1673 0.17727
79656466 15674.44838 0.17747
36484357 154043.361 0.17814
52884641 272077.93065 0.17948
11310276 398603.32853 0.18027
90932073 75206.8944 0.18102
72708693 383045.01709 0.18331
17092208 5583.90854 0.18436
45351812 332361.10401 0.18534
18040522 206242.13943 0.18563
31581197 501914.34442 0.19013
16282671 20865.78307 0.1903
21678945 7326.71957 0.19338
77521873 203398.46693 0.19348
62552460 61937.33459 0.19496
1661919 513946.91988 0.19506
27331374 37537.94521 0.19508
19085005 56957.1535 0.19616
57574501 13039.75242 0.19678
64736713 68315.31192 0.19951
42871994 563005.72114 0.2001
67176140 518489.0795 0.20086
37127468 203976.2157 0.20151
66512105 189009.04194 0.20206
39054428 62089.98752 0.2025
23173556 207750.18946 0.20287
14194747 225093.6632 0.20314
78286957 22858.99777 0.2034
75915491 254313.9483 0.20358
61259757 191972.2348 0.20386
85837489 135174.98385 0.20418
48612538 118905.4652 0.20678
11340596 293102.8072 0.20791
36013822 445511.28851 0.20832
99835901 182335.04036 0.20932
96805813 67377.26262 0.21321
87788877 89893.098 0.21453
92884118 432170.4124 0.21476
94947894 727221.08886 0.21502
16541650 882898.52965 0.21546
21096216 49236.75115 0.21562
90442012 66799.41014 0.21604
5925806 218310.94994 0.21747
62294189 36015.68527 0.21824
51521827 255202.66522 0.22019
19860363 356888.22902 0.22025
19111085 4171.5273 0.22029
24650424 38692.99398 0.22064
67216681 19374.50533 0.22095
57729797 172097.65923 0.22165
32220022 438584.33901 0.22213
72528889 111984.92898 0.22305
94738720 674182.19398 0.22335
76973101 491626.56237 0.22369
50418197 845528.02633 0.22386
35416990 162063.52065 0.22725
45652783 42876.62785 0.22842
76156235 17717.90953 0.22882
19332646 429616.81443 0.23139
72847686 387445.73461 0.23151
89290403 23515.02941 0.23182
580271 48964.23586 0.23237
89477001 653570.70498 0.2324
81152060 17109.30355 0.23399
55753363 63254.01538 0.23434
6245988 676889.44739 0.23453
99473306 878852.96068 0.23876
76068909 138304.10623 0.23878
2080151 80697.85117 0.23949
27960103 21361.37456 0.24005
9579907 416124.87344 0.24163
9527946 178871.06999 0.24376
98422196 339125.14223 0.24447
99264958 142786.74637 0.24468
86632855 647354.04564 0.24631
19754835 34634.4537 0.24693
81076163 403542.43174 0.24721
77040221 116755.28423 0.24828
72453083 116644.09622 0.24873
33827779 276672.35828 0.24935
97777818 63516.51123 0.25044
95114538 406943.23616 0.2518
62431122 108452.6543 0.25241
85449765 210.79052 0.25352
57490441 28367.49647 0.25354
50681598 217787.13728 0.25593
9300787 71435.86801 0.25713
