ID VALUE SCORE
57939986 120895.58318 0.00575
85665927 90880.33736 0.00742
86989591 4512.42775 0.15637
30129668 591841.74708 0.03255
2867072 225123.08011 0.04235
89894542 144036.67804 0.04495
96769523 232992.41452 0.05255
43781044 119550.03455 0.06111
86221106 476751.39529 0.06565
32167405 178851.19079 0.06954
35161044 153473.6662 0.10832
59939930 206552.66926 0.11145
59242359 168831.53427 0.12014
24689083 221864.46345 0.12177
88497554 100209.08233 0.0316
37331489 420502.04168 0.17869
64397709 99486.72256 0.18365
5641039 1723.51544 0.18517
35792651 212061.3307 0.19019
38299677 20076.64967 0.22088
62856771 347376.73871 0.24087
76365226 132226.94599 0.25843
98661766 301140.65629 0.2641
38661168 338094.66914 0.273
23071088 254790.13237 0.27307
99588306 9555.83349 0.27447
44587551 39198.06627 0.27604
81896191 108941.4819 0.2823
43215740 71951.65333 0.2961
78907772 150624.22283 0.30799
92084382 657877.12879 0.31223
5349895 30141.86216 0.35176
89975813 114942.223 0.38606
70952419 135908.03099 0.4074
36168929 295882.83322 0.40987
1866403 54063.85949 0.42196
99281788 604309.68366 0.42387
5733931 198037.95942 0.43117
59122082 22842.20681 0.43889
80121470 221289.06701 0.44153
94328998 83275.71018 0.4416
52953416 4544.65151 0.44603
37481397 99444.94983 0.44607
66329579 481354.78595 0.44751
12292799 110519.25688 0.45688
36696956 755413.81964 0.46586
93538129 256366.7003 0.47831
57638808 180824.00896 0.49148
71053520 25394.77613 0.49719
84846999 397090.44564 0.509
56814992 287639.6784 0.51692
98910239 454698.66965 0.52396
61749013 174157.76781 0.53622
65663405 839163.64755 0.54649
67859174 4697.39149 0.55062
319495 789179.79475 0.55423
37254685 20450.36978 0.55758
25573738 374215.67885 0.55922
78230374 663894.44408 0.57854
72775543 23459.1009 0.58205
84443158 30044.67776 0.58637
63137574 144729.46658 0.58927
89482359 232231.24621 0.63081
83390394 136857.94782 0.63289
65319048 471079.50245 0.63335
58308397 549321.60707 0.92352
81903068 76802.95792 0.66455
52628963 28808.92105 0.67296
41619380 525085.32472 0.69812
8179116 234624.60678 0.69889
12081041 75574.68846 0.69963
76248816 811223.89839 0.71071
54004463 374020.68616 0.71935
67642183 237952.44629 0.72087
35374946 205232.9156 0.72549
39887353 573331.47052 0.73423
85317870 716572.57411 0.75549
3355108 780660.74216 0.75957
91049103 57746.05015 0.77363
24516360 35108.73105 0.77542
48463143 220579.8928 0.83144
55426642 47031.69226 0.83422
97317090 70746.06141 0.83781
95116498 193304.34999 0.84246
92298726 34508.59014 0.86078
82728326 250111.51883 0.86175
37477490 89948.61551 0.87985
78085833 472605.84461 0.88161
99620140 738015.15151 0.88165
20409889 426651.01305 0.88983
83452840 86293.90325 0.89133
37844860 304642.47793 0.89559
70215465 29070.19169 0.91277
96545404 64272.13441 0.65416
86298453 7013.92458 0.9639
76468953 234776.5191 0.97354
50132895 657703.55255 0.97694
16770042 293421.78901 0.97776
19385156 154539.62913 0.97908
19043557 60241.12206 0.99983
