ID VALUE SCORE
8399377 4007.60884 1e-05
2801094 171538.71211 3e-05
77993215 320485.49646 4e-05
2600846 93787.73771 4e-05
78924480 631645.8477 6e-05
21605053 434074.75869 6e-05
64359063 229966.89668 7e-05
19853675 203455.10968 8e-05
69582611 596962.0603 8e-05
30687138 94238.99978 9e-05
24564301 432937.81431 0.0001
755237 298175.461 0.00011
36009485 35746.58227 0.00013
82708476 552035.67391 0.89756
28474449 288471.84869 0.00015
45586248 23162.29129 0.00015
43144493 46745.59427 0.00015
85858863 56557.7038 0.00016
67123833 677040.11789 0.00017
11603670 80251.40809 0.00017
95373302 65663.7976 0.00018
58112646 52670.879 0.00019
73232025 49234.01059 0.00019
73939361 470384.09432 0.0002
22225886 572788.28262 0.00021
82615311 542179.55349 0.00023
63636593 185230.79876 0.00024
48521180 42766.49078 0.00025
50468190 43362.7588 0.62322
92820070 56709.25387 0.00028
57819106 33571.50994 0.00029
44935616 376830.69042 0.0003
8669539 90069.09635 0.0003
6555825 92320.67465 0.0003
69611804 42027.25644 0.00031
37131099 64225.91834 0.71149
72751711 139153.37212 0.00035
35652274 31253.22176 0.00035
39231506 134866.5802 0.00035
37484021 591477.01575 0.00037
40100687 528413.34826 0.00037
66281411 595680.27346 0.00039
64906588 190635.29576 0.0004
11620859 170682.46969 0.93771
69414796 269358.31725 0.93771
12568296 391508.88307 0.93771
61316346 914629.26533 0.93771
71511247 81045.79051 0.00043
48165350 557599.11311 0.00043
43321915 48166.74223 0.00043
44060622 308454.42723 0.00044
14560349 320828.24254 0.00045
73246984 396408.27406 0.00045
80138507 131298.88223 0.00048
96328736 673.9758 0.00048
80327103 236061.09143 0.00049
6232821 72821.19351 0.00049
66449258 665548.21317 0.00049
43159765 6941.10606 0.00049
85234760 169955.19908 0.0005
54788727 564793.44466 0.00051
16907395 154656.46911 0.00051
34754956 439223.35885 0.00052
91172281 26512.37188 0.00053
72301762 298523.56923 0.00054
69213915 501727.66283 0.00054
76994991 358178.62027 0.00055
24467730 190232.75597 0.00056
69014545 297005.89346 0.00056
99345923 184419.0911 0.00056
23730376 80903.36003 0.0006
3524227 115322.05505 0.00062
6085666 11222.17111 0.00063
45740353 76330.20518 0.00064
10461151 11503.20335 0.40304
44904199 31709.19876 0.00067
96673812 37782.77423 0.00069
30473906 270349.97965 0.0007
70307753 153208.70803 0.0007
21642554 108336.78734 0.0007
56174542 141399.28507 0.00071
85798659 957233.02424 0.00071
60251366 720127.87028 0.00071
74888300 355872.20609 0.00074
88383896 16020.58274 0.00075
30153757 228506.5818 0.00075
16029922 207913.4843 0.00076
95701559 5122.86917 0.00077
6109624 93874.93355 0.00077
60699148 525567.92292 0.00079
53471521 18981.97177 0.0008
50100873 732565.11793 0.0008
49148238 468756.00166 0.00081
53664927 180231.80156 0.00081
31528990 128049.03578 0.00084
43410300 103788.7796 0.00084
92382440 707742.94405 0.00085
29289644 259784.27035 0.00085
70431576 127706.72783 0.00086
