ID VALUE SCORE
2887172 26720.29211 0.00065
54901355 230299.67638 0.00089
66559268 316203.14116 0.00238
77259960 477301.55464 0.00267
8046244 133799.86702 0.00528
93402156 30332.95457 0.00588
21431110 164760.64315 0.00623
45669925 706949.45588 0.00889
93050664 111913.5562 0.01077
806106 27452.45936 0.012
53408334 84227.99234 0.01251
34078188 46252.72047 0.02165
16072064 64576.94951 0.02208
62337535 836377.91059 0.0222
97448099 317007.68281 0.02463
17041130 420926.66581 0.0254
74521544 248182.50903 0.02622
64206780 526185.79727 0.02677
70184887 35602.64152 0.02678
80390641 15540.59518 0.02764
77914280 357599.25331 0.02912
67876597 273217.96765 0.0306
28157472 63537.25522 0.03071
72593330 476663.56728 0.03104
53577554 184842.27765 0.03109
13677875 185269.59204 0.03208
38467781 173882.73809 0.03278
43191621 111430.28056 0.03316
12355361 28867.29207 0.03389
79976273 166731.94701 0.03506
11541471 817313.21273 0.03584
53111502 167062.26478 0.03628
89691174 332384.60956 0.76161
80719764 833952.12241 0.03757
77714425 160887.14486 0.03927
99646400 10579.91742 0.03943
30150812 409914.90708 0.03945
8136784 4284.35662 0.04114
73272155 50688.59905 0.04265
45375810 5058.5741 0.04382
87562833 344834.81093 0.04615
15827654 520571.87577 0.04697
52992681 70532.41897 0.04765
56544738 732516.5338 0.04804
77655648 180152.60189 0.04866
35713269 11805.99201 0.04879
48634676 45311.07851 0.04958
13008419 316835.23469 0.04993
77932334 143026.47452 0.05066
76142792 166787.72837 0.0508
90535751 135526.83627 0.05119
56501543 32647.53396 0.05366
91300233 56110.22088 0.05371
76484529 429215.08176 0.05427
2571673 148599.978 0.05635
57328536 253298.45585 0.05708
41482293 377679.79842 0.05864
45756330 392843.68046 0.06156
84372798 3735.47906 0.06182
92674470 434489.24233 0.06259
47242727 894159.54702 0.06329
96511185 169454.02249 0.06521
12375167 96010.13703 0.06561
26135242 116200.55887 0.06567
70940040 329998.50124 0.06624
28128074 187597.79707 0.20808
42585606 22877.21958 0.0669
55586723 20030.82406 0.79095
43254537 156178.42115 0.06761
42349904 98569.85941 0.06888
94594614 586697.9353 0.06952
5266264 804706.55263 0.07145
59627785 187760.41829 0.07202
76834949 13401.21116 0.07263
6256826 18805.61783 0.39805
81006998 303364.03397 0.07295
16785049 77455.59927 0.07475
6284411 112365.29492 0.07582
73436619 163334.39301 0.07753
84437677 148277.09832 0.07794
84872838 663200.75382 0.41471
97927355 233571.78105 0.08251
55086628 915316.75752 0.08291
12213229 158289.59212 0.0832
92656731 256229.4943 0.08328
39002862 8.60025 0.08336
84794304 1295.37805 0.08336
73840149 364750.49458 0.08377
18463574 749239.8124 0.0839
94352294 23473.68864 0.0847
94811724 45093.83382 0.08644
34070381 53552.91789 0.08883
78715479 264076.3371 0.09047
7002485 89465.9457 0.09322
81680601 477314.35077 0.09386
99206394 232305.47201 0.09426
71773707 329682.1784 0.09752
34321563 805657.77483 0.0984
16720351 34624.85568 0.09845
91752857 5338.37664 0.10074
91437379 222886.37889 0.10215
54095526 109458.60517 0.10233
94418009 104873.3506 0.1045
96893599 189078.99962 0.10541
34882189 27317.96038 0.10743
86691064 283793.8661 0.10744
33223254 197163.57685 0.10928
27844942 37699.64639 0.11017
60004095 566939.22531 0.113
68690711 614590.19495 0.11498
58896730 6055.92031 0.11623
74068931 130437.74148 0.11745
67628197 68342.7939 0.11901
67819525 22296.87846 0.12121
20231575 167282.97012 0.12305
51953529 639880.69249 0.12338
51132650 606637.57523 0.12349
28129735 298531.87995 0.12525
6624911 275401.77266 0.12532
85838317 257403.70213 0.12707
43515515 11965.69948 0.12832
28034147 469297.63646 0.13049
60846685 18209.14406 0.13113
54794299 295545.42098 0.13281
18918393 26486.31437 0.13555
72746358 619760.0248 0.13799
64097928 840019.85468 0.13801
3175525 49556.24974 0.14056
98028898 89605.85891 0.14103
8107355 152330.07338 0.14118
92128064 1358.15023 0.1413
64957336 256973.51022 0.14215
37090739 238450.11161 0.14325
74975054 135614.12009 0.14347
36009735 9467.22026 0.14391
76446474 341710.27275 0.14436
49709094 154440.31923 0.14465
11108968 348440.99352 0.14556
90272189 339914.7588 0.14763
29951646 8686.65493 0.14785
33062829 705484.78004 0.14914
17750759 223277.09128 0.14968
76448266 95796.7087 0.14991
24801670 20099.31555 0.15083
72868699 20049.14541 0.15225
84366236 197890.55077 0.15335
17791356 707371.29138 0.34811
30190008 191148.59425 0.15582
58453701 7830.15332 0.15598
7374020 659149.77212 0.1574
31344822 10378.18448 0.15841
68075452 126868.21193 0.15883
7972905 52599.93314 0.15919
16952756 281434.95354 0.15951
96715720 119145.15001 0.15989
69602319 11292.90502 0.16222
79366947 267521.9256 0.16412
72461076 129268.65261 0.16474
83570885 201867.19705 0.16613
13023430 756455.89516 0.16781
5629355 220634.14226 0.16985
67681142 122645.7261 0.1701
78109016 229016.09931 0.17048
28756712 185302.27722 0.17061
16176857 543408.72349 0.17106
83187931 194781.38186 0.17382
96419882 46985.95998 0.17485
19398200 510258.87567 0.17546
74258269 157944.52342 0.17559
29770747 349200.46432 0.17606
17612735 159499.99623 0.17778
20259911 10142.122 0.17799
98014830 185891.95713 0.17905
77212906 155842.52869 0.1795
86113752 293884.85917 0.18007
85594651 221111.50845 0.18052
24218634 416523.67941 0.18089
87935455 189638.98986 0.18217
18306376 62391.30485 0.18227
59205301 169347.5507 0.18439
70135850 732262.59555 0.18555
59870746 248043.2535 0.1861
4122840 14350.16613 0.18618
46197593 371500.35875 0.18761
17044674 68610.29103 0.1886
37074700 20175.1525 0.19216
85479536 322393.11222 0.1927
69581355 653123.61258 0.19292
43682829 194570.5934 0.1935
94387792 500886.1418 0.19412
12259596 222401.6451 0.19425
38716106 392512.81741 0.19589
83926383 13034.41222 0.19644
8158790 273264.98049 0.19739
12630011 72112.70303 0.1999
25474148 32703.9178 0.57862
47162732 145228.72518 0.20059
85661991 85897.2429 0.20202
71872506 345219.9922 0.20235
50838346 168385.87047 0.20299
54341165 60866.26665 0.20304
84951279 587755.91201 0.29726
44215236 151970.81329 0.20531
51867475 55191.9036 0.20538
8491537 276398.39366 0.2054
14514570 111915.33184 0.20545
21339131 80258.1348 0.20566
35810067 1040.77389 0.06651
45805442 465882.54961 0.21114
84882455 71290.77073 0.21135
69223742 255321.05542 0.21291
46440124 746956.81513 0.2136
6469686 750145.41425 0.21437
32445787 433962.55351 0.21483
68037843 571748.85206 0.21497
17795285 27870.8581 0.21719
93587887 209052.66369 0.21787
872983 57208.42746 0.22147
61030358 198928.33504 0.22151
47712570 666217.46707 0.22245
79163895 146801.93347 0.22291
91247754 108862.18554 0.22369
63736904 401529.95237 0.22477
85222434 442392.81855 0.2254
83470933 161930.85356 0.22619
41954838 260748.93444 0.22795
69593427 180558.11581 0.22958
30909442 166168.92226 0.23018
60669849 96454.99835 0.23253
20976559 50763.39546 0.23351
8178233 752817.60101 0.23426
78969351 340767.21282 0.23481
79570226 392489.25365 0.23633
